wfuzz -u http://10.129.28.172/ -H "Host: FUZZ" -w /usr/share/wordlists/SecLists/Discovery/DNS/subdomains-top1million-20000.txt --hw 1222
 /usr/lib/python3/dist-packages/wfuzz/__init__.py:34: UserWarning:Pycurl is not compiled against Openssl. Wfuzz might not work correctly when fuzzing SSL sites. Check Wfuzz's documentation for more information.
********************************************************
* Wfuzz 3.1.0 - The Web Fuzzer                         *
********************************************************

Target: http://10.129.28.172/
Total requests: 19966

=====================================================================
ID           Response   Lines    Word       Chars       Payload                                                                                     
000014129:   400        12 L     53 W       422 Ch      "1111"                                                                                      
000014205:   400        12 L     53 W       422 Ch      "235"                                                                                       
000014470:   400        12 L     53 W       422 Ch      "www.2010"                                                                                  
000015804:   400        12 L     53 W       422 Ch      "211"                                                                                       
000016457:   400        12 L     53 W       422 Ch      "192"                                                                                       
000017145:   400        12 L     53 W       422 Ch      "2006"                                                                                      
000017262:   400        12 L     53 W       422 Ch      "209"                                                                                       
000018464:   400        12 L     53 W       422 Ch      "117"                                                                                       
000018556:   400        12 L     53 W       422 Ch      "130"                                                                                       
000018911:   400        12 L     53 W       422 Ch      "007"                                                                                       
000019444:   400        12 L     53 W       422 Ch      "137"                                                                                       
000019483:   400        12 L     53 W       422 Ch      "www.6"                                                                                     
000019484:   400        12 L     53 W       422 Ch      "www.5"                                                                                     
000019622:   400        12 L     53 W       422 Ch      "www.14"                                                                                    
000019637:   400        12 L     53 W       422 Ch      "169"                                                                                       
000019639:   400        12 L     53 W       422 Ch      "237"                                                                                       
000019666:   400        12 L     53 W       422 Ch      "131"                                                                                       
000019668:   400        12 L     53 W       422 Ch      "134"                                                                                       
000019675:   400        12 L     53 W       422 Ch      "162"                                                                                       
000019834:   400        12 L     53 W       422 Ch      "_domainkey"                                                                                

Total time: 0
Processed Requests: 19966
Filtered Requests: 19760
Requests/sec.: 0
